DEPCOM;COM;PMUN;PCAP;PTOT
01098;Chazey-Bons;1112;36;1148
01099;Chazey-sur-Ain;1514;37;1551
01100;Cheignieu-la-Balme;134;4;138
01101;Chevillard;151;9;160
01102;Chevroux;952;15;967
01103;Chevry;1812;40;1852
01104;Chézery-Forens;467;11;478
01105;Civrieux;1680;56;1736
01106;Cize;173;8;181
01107;Cleyzieu;136;4;140
01108;Coligny;1181;25;1206
01109;Collonges;2219;46;2265
01110;Colomieu;140;2;142
01111;Conand;124;1;125
01112;Condamine;411;37;448
01113;Condeissiat;822;13;835
01114;Confort;648;12;660
01115;Confrançon;1336;29;1365
01116;Contrevoz;499;11;510
01117;Conzieu;148;2;150
01118;Corbonod;1264;33;1297
01121;Corlier;114;1;115
01123;Cormoranche-sur-Saône;1138;37;1175
01124;Cormoz;664;15;679
01125;Corveissiat;621;13;634
01127;Courmangoux;507;9;516
01128;Courtes;313;2;315
01129;Crans;266;4;270
01133;Cressin-Rochefort;392;11;403
01134;Crottet;1734;43;1777
01135;Crozet;2138;63;2201
01136;Cruzilles-lès-Mépillat;868;20;888
01138;Culoz;3035;47;3082
01139;Curciat-Dongalon;440;5;445
01140;Curtafond;770;19;789
01141;Cuzieu;448;15;463
01142;Dagneux;4717;55;4772
01143;Divonne-les-Bains;9644;234;9878
01146;Dompierre-sur-Chalaronne;435;10;445
01145;Dompierre-sur-Veyle;1166;21;1187
01147;Domsure;486;3;489
01148;Dortan;1846;44;1890
01149;Douvres;1041;26;1067
01150;Drom;216;5;221
01151;Druillat;1159;19;1178
01152;Échallon;757;20;777
01153;Échenevex;2132;73;2205
01155;Évosges;145;2;147
01156;Faramans;806;12;818
01157;Fareins;2204;42;2246
01158;Farges;1038;11;1049
01159;Feillens;3291;69;3360
01160;Ferney-Voltaire;9766;162;9928
01162;Flaxieu;68;3;71
01163;Foissiat;2085;39;2124
01165;Francheleins;1611;32;1643
01166;Frans;2351;56;2407
01167;Garnerans;647;25;672
01169;Genouilleux;612;20;632
01171;Géovreisset;874;43;917
01173;Gex;13118;257;13375
01174;Giron;183;4;187
01175;Gorrevod;835;25;860
01177;Grand-Corent;177;6;183
01179;Grièges;1876;52;1928
01180;Grilly;833;20;853
01181;Groissiat;1229;52;1281
01338;Groslée-Saint-Benoit;1193;36;1229
01183;Guéreins;1452;25;1477
01187;Haut Valromey;669;22;691
01184;Hautecourt-Romanèche;777;20;797
01188;Illiat;627;17;644
01189;Injoux-Génissiat;1136;26;1162
01190;Innimond;89;3;92
01191;Izenave;156;4;160
01192;Izernore;2247;62;2309
01193;Izieu;235;7;242
01194;Jassans-Riottier;6339;119;6458
01195;Jasseron;1755;52;1807
01196;Jayat;1182;12;1194
01197;Journans;355;14;369
01198;Joyeux;271;3;274
01199;Jujurieux;2156;44;2200
01200;Labalme;210;2;212
01202;Lagnieu;7143;146;7289
01203;Laiz;1212;39;1251
01206;Lantenay;277;6;283
01207;Lapeyrouse;316;12;328
01208;Lavours;124;6;130
01209;Léaz;739;15;754
01210;Lélex;227;4;231
01211;Lent;1405;34;1439
01212;Lescheroux;735;8;743
01213;Leyment;1303;29;1332
01214;Leyssard;152;4;156
01216;Lhuis;889;21;910
01219;Lompnas;168;3;171
01224;Loyettes;3146;30;3176
01225;Lurcy;384;9;393
01227;Magnieu;644;13;657
01228;Maillat;635;13;648
01229;Malafretaz;1216;24;1240
01230;Mantenay-Montlin;313;7;320
01231;Manziat;1963;49;2012
01232;Marboz;2244;47;2291
01233;Marchamp;131;3;134
01234;Marignieu;172;3;175
01235;Marlieux;1112;95;1207
01236;Marsonnas;991;28;1019
01237;Martignat;1654;66;1720
01238;Massieux;2590;60;2650
01239;Massignieu-de-Rives;614;14;628
01240;Matafelon-Granges;641;17;658
01241;Meillonnas;1335;33;1368
01242;Mérignat;130;4;134
01243;Messimy-sur-Saône;1224;32;1256
01244;Meximieux;7743;128;7871
01246;Mézériat;2172;37;2209
01247;Mijoux;341;12;353
01248;Mionnay;2100;47;2147
01249;Miribel;9963;112;10075
01250;Misérieux;1941;254;2195
01252;Mogneneins;778;23;801
01254;Montagnat;1992;48;2040
01255;Montagnieu;622;12;634
01257;Montanges;344;10;354
01258;Montceaux;1195;36;1231
01259;Montcet;691;15;706
01260;Le Montellier;297;8;305
01261;Monthieux;646;23;669
01262;Montluel;6964;84;7048
01263;Montmerle-sur-Saône;3793;66;3859
01264;Montracol;1040;20;1060
01265;Montréal-la-Cluse;3435;70;3505
01266;Montrevel-en-Bresse;2489;42;2531
01268;Murs-et-Gélignieux;252;4;256
01269;Nantua;3446;138;3584
01272;Neuville-les-Dames;1510;21;1531
01273;Neuville-sur-Ain;1756;28;1784
01274;Les Neyrolles;639;15;654
01275;Neyron;2527;49;2576
01276;Niévroz;1619;27;1646
01095;Nivigne et Suran;814;11;825
01277;Nivollet-Montgriffon;119;2;121
01267;Nurieux-Volognat;1028;24;1052
01279;Oncieu;89;6;95
01280;Ordonnaz;141;1;142
01281;Ornex;4410;165;4575
01282;Outriaz;260;6;266
01283;Oyonnax;22427;516;22943
01284;Ozan;686;6;692
01285;Parcieux;1206;29;1235
01286;Parves et Nattages;942;38;980
01288;Péron;2620;53;2673
01289;Péronnas;6385;290;6675
01290;Pérouges;1201;27;1228
01291;Perrex;838;7;845
01293;Peyriat;157;4;161
01294;Peyrieu;873;15;888
01295;Peyzieux-sur-Saône;661;13;674
01296;Pirajoux;408;7;415
01297;Pizay;820;14;834
01298;Plagne;132;2;134
01299;Le Plantay;564;9;573
01185;Plateau d'Hauteville;4853;178;5031
01204;Le Poizat-Lalleyriat;720;15;735
01301;Polliat;2511;61;2572
01302;Pollieu;159;6;165
01303;Poncin;1703;35;1738
01304;Pont-d'Ain;2964;29;2993
01305;Pont-de-Vaux;2258;45;2303
01306;Pont-de-Veyle;1625;65;1690
01307;Port;849;20;869
01308;Pougny;812;14;826
01309;Pouillat;88;0;88
01310;Prémeyzel;248;4;252
01311;Prémillieu;45;0;45
01313;Prévessin-Moëns;8233;198;8431
01314;Priay;1729;34;1763
01317;Ramasse;324;6;330
01318;Rancé;727;17;744
01319;Relevant;463;5;468
01320;Replonges;3717;79;3796
01321;Revonnas;905;29;934
01322;Reyrieux;4797;132;4929
01323;Reyssouze;980;13;993
01325;Rignieux-le-Franc;971;17;988
01328;Romans;590;4;594
01329;Rossillon;151;6;157
01330;Ruffieu;186;5;191
01331;Saint-Alban;178;4;182
01334;Saint-André-d'Huiriat;626;9;635
01332;Saint-André-de-Bâgé;751;22;773
01333;Saint-André-de-Corcy;3354;54;3408
01335;Saint-André-le-Bouchoux;390;6;396
01336;Saint-André-sur-Vieux-Jonc;1147;29;1176
01337;Saint-Bénigne;1265;27;1292
01339;Saint-Bernard;1433;42;1475
01343;Saint-Cyr-sur-Menthon;1776;40;1816
01345;Saint-Denis-en-Bugey;2309;27;2336
01344;Saint-Denis-lès-Bourg;5747;161;5908
01346;Saint-Didier-d'Aussiat;871;13;884
01347;Saint-Didier-de-Formans;1960;69;2029
01348;Saint-Didier-sur-Chalaronne;2875;63;2938
01349;Saint-Éloi;456;5;461
01350;Saint-Étienne-du-Bois;2448;37;2485
01351;Saint-Étienne-sur-Chalaronne;1555;27;1582
01352;Saint-Étienne-sur-Reyssouze;571;6;577
01354;Saint-Genis-Pouilly;12544;181;12725
01355;Saint-Genis-sur-Menthon;472;7;479
01356;Saint-Georges-sur-Renon;214;5;219
01357;Saint-Germain-de-Joux;501;5;506
01358;Saint-Germain-les-Paroisses;434;3;437
01359;Saint-Germain-sur-Renon;236;4;240
01360;Saint-Jean-de-Gonville;1787;44;1831
01361;Saint-Jean-de-Niost;1477;42;1519
01362;Saint-Jean-de-Thurigneux;771;13;784
01363;Saint-Jean-le-Vieux;1723;79;1802
01364;Saint-Jean-sur-Reyssouze;744;7;751
01365;Saint-Jean-sur-Veyle;1149;20;1169
01367;Saint-Julien-sur-Reyssouze;749;4;753
01368;Saint-Julien-sur-Veyle;817;15;832
01369;Saint-Just;926;24;950
01370;Saint-Laurent-sur-Saône;1722;27;1749
01371;Saint-Marcel;1279;25;1304
01372;Saint-Martin-de-Bavel;438;5;443
01373;Saint-Martin-du-Frêne;1049;36;1085
01374;Saint-Martin-du-Mont;1826;45;1871
01375;Saint-Martin-le-Châtel;787;20;807
01376;Saint-Maurice-de-Beynost;3967;39;4006
01378;Saint-Maurice-de-Gourdans;2572;53;2625
01379;Saint-Maurice-de-Rémens;756;9;765
01380;Saint-Nizier-le-Bouchoux;680;12;692
01381;Saint-Nizier-le-Désert;916;19;935
01383;Saint-Paul-de-Varax;1529;20;1549
01384;Saint-Rambert-en-Bugey;2269;33;2302
01385;Saint-Rémy;994;23;1017
01386;Saint-Sorlin-en-Bugey;1157;62;1219
01387;Saint-Sulpice;257;4;261
01388;Saint-Trivier-de-Courtes;1093;9;1102
01389;Saint-Trivier-sur-Moignans;1799;41;1840
01390;Saint-Vulbas;1286;20;1306
01342;Sainte-Croix;570;8;578
01353;Sainte-Euphémie;1667;28;1695
01366;Sainte-Julie;1017;17;1034
01382;Sainte-Olive;283;2;285
01391;Salavre;272;9;281
01392;Samognat;653;27;680
01393;Sandrans;530;5;535
01396;Sault-Brénaz;953;13;966
01397;Sauverny;1009;21;1030
01398;Savigneux;1351;16;1367
01399;Ségny;2062;50;2112
01400;Seillonnaz;137;3;140
01401;Sergy;2084;40;2124
01402;Sermoyer;668;20;688
01403;Serrières-de-Briord;1264;18;1282
01404;Serrières-sur-Ain;134;2;136
01405;Servas;1247;28;1275
01406;Servignat;175;1;176
01407;Seyssel;999;18;1017
01408;Simandre-sur-Suran;671;12;683
01410;Sonthonnax-la-Montagne;312;7;319
01411;Souclin;273;6;279
01412;Sulignat;586;12;598
01215;Surjoux-Lhopital;131;3;134
01415;Talissieu;450;10;460
01416;Tenay;1035;12;1047
01418;Thil;1088;25;1113
01419;Thoiry;6038;177;6215
01420;Thoissey;1741;15;1756
01421;Torcieu;726;16;742
01422;Tossiat;1362;36;1398
01423;Toussieux;1091;20;1111
01424;Tramoyes;1681;43;1724
01425;La Tranclière;286;7;293
01427;Trévoux;6845;164;7009
01426;Val-Revermont;2601;53;2654
01428;Valeins;130;1;131
01036;Valromey-sur-Séran;1311;18;1329
01033;Valserhône;16423;381;16804
01429;Vandeins;687;13;700
01430;Varambon;584;14;598
01431;Vaux-en-Bugey;1224;30;1254
01432;Verjon;295;2;297
01433;Vernoux;330;1;331
01434;Versailleux;438;9;447
01435;Versonnex;2176;70;2246
01436;Vesancy;484;11;495
01437;Vescours;241;5;246
01439;Vésines;99;4;103
01441;Vieu-d'Izenave;707;17;724
01443;Villars-les-Dombes;4795;89;4884
01444;Villebois;1173;17;1190
01445;Villemotier;656;22;678
01446;Villeneuve;1501;36;1537
01447;Villereversure;1291;48;1339
01448;Villes;376;8;384
01449;Villette-sur-Ain;755;12;767
01450;Villieu-Loyes-Mollon;3653;64;3717
01451;Viriat;6418;148;6566
01452;Virieu-le-Grand;1081;25;1106
01454;Virignin;1097;21;1118
01456;Vongnes;70;2;72
01457;Vonnas;2961;58;3019
02001;Abbécourt;498;8;506
02002;Achery;598;8;606
02003;Acy;1012;23;1035
02004;Agnicourt-et-Séchelles;177;8;185
02005;Aguilcourt;384;8;392
02006;Aisonville-et-Bernoville;255;9;264
02007;Aizelles;125;1;126
02008;Aizy-Jouy;291;4;295
02009;Alaincourt;543;6;549
02010;Allemant;177;4;181
02011;Ambleny;1155;54;1209
02012;Ambrief;70;0;70
02013;Amifontaine;404;9;413
02014;Amigny-Rouy;744;14;758
02015;Ancienville;75;0;75
02016;Andelain;228;9;237
02017;Anguilcourt-le-Sart;315;4;319
02018;Anizy-le-Grand;2533;51;2584
02019;Annois;364;5;369
02020;Any-Martin-Rieux;456;4;460
02021;Archon;87;3;90
02022;Arcy-Sainte-Restitue;403;6;409
02023;Armentières-sur-Ourcq;103;3;106
02024;Arrancy;53;0;53
02025;Artemps;371;2;373
02027;Assis-sur-Serre;222;8;230
02028;Athies-sous-Laon;2604;59;2663
02029;Attilly;363;12;375
02030;Aubencheul-aux-Bois;269;4;273
02031;Aubenton;657;6;663
02032;Aubigny-aux-Kaisnes;253;4;257
02033;Aubigny-en-Laonnois;105;2;107
02034;Audignicourt;118;4;122
02035;Audigny;279;8;287
02036;Augy;82;1;83
02037;Aulnois-sous-Laon;1422;31;1453
02038;Les Autels;57;0;57
02039;Autremencourt;169;3;172
02040;Autreppes;178;4;182
02041;Autreville;814;13;827
02042;Azy-sur-Marne;389;2;391
02043;Bagneux;69;1;70
02044;Bancigny;26;0;26
02046;Barenton-Bugny;555;8;563
02047;Barenton-Cel;114;6;120
02048;Barenton-sur-Serre;134;4;138
02049;Barisis-aux-Bois;740;12;752
02050;Barzy-en-Thiérache;330;2;332
02051;Barzy-sur-Marne;384;6;390
02052;Bassoles-Aulers;139;6;145
02054;Bazoches-sur-Vesles;460;4;464
02055;Beaumé;92;2;94
02056;Beaumont-en-Beine;177;1;178
02057;Beaurevoir;1424;19;1443
02058;Beaurieux;844;10;854
02059;Beautor;2699;28;2727
02060;Beauvois-en-Vermandois;268;7;275
02061;Becquigny;250;7;257
02062;Belleau;136;4;140
02063;Bellenglise;381;9;390
02064;Belleu;3810;51;3861
02065;Bellicourt;602;12;614
02066;Benay;204;2;206
02067;Bergues-sur-Sambre;213;6;219
02068;Berlancourt;103;5;108
02069;Berlise;111;2;113
02070;Bernot;452;12;464
02071;Berny-Rivière;651;16;667
02072;Berrieux;188;1;189
02073;Berry-au-Bac;653;5;658
02074;Bertaucourt-Epourdon;604;10;614
02075;Berthenicourt;199;2;201
02076;Bertricourt;162;3;165
02077;Berzy-le-Sec;385;9;394
02078;Besmé;160;2;162
02079;Besmont;152;0;152
02080;Besny-et-Loizy;350;10;360
02081;Béthancourt-en-Vaux;440;8;448
02082;Beugneux;111;0;111
02083;Beuvardes;749;15;764
02084;Bézu-le-Guéry;260;5;265
02085;Bézu-Saint-Germain;1043;26;1069
02086;Bichancourt;1048;10;1058
02087;Bieuxy;30;1;31
02088;Bièvres;88;3;91
02089;Billy-sur-Aisne;1154;21;1175
02090;Billy-sur-Ourcq;213;10;223
02091;Blanzy-lès-Fismes;106;1;107
02093;Blérancourt;1290;58;1348
02094;Blesmes;447;9;456
02095;Bohain-en-Vermandois;5664;90;5754
02096;Bois-lès-Pargny;201;3;204
02097;Boncourt;259;2;261
02098;Bonneil;375;14;389
02099;Bonnesvalyn;236;5;241
02100;Bony;137;1;138
02101;Bosmont-sur-Serre;193;5;198
02102;Bouconville-Vauclair;187;6;193
02103;Boué;1324;15;1339
02104;Bouffignereux;102;4;106
02105;Bouresches;202;5;207
02106;Bourg-et-Comin;822;11;833
02107;Bourguignon-sous-Coucy;103;4;107
02108;Bourguignon-sous-Montbavin;158;4;162
02109;La Bouteille;486;10;496
02110;Braine;2213;25;2238
02111;Brancourt-en-Laonnois;708;12;720
02112;Brancourt-le-Grand;565;13;578
02114;Brasles;1529;36;1565
02117;Bray-Saint-Christophe;67;0;67
02118;Braye;121;2;123
02115;Braye-en-Laonnois;203;6;209
02116;Braye-en-Thiérache;146;1;147
02119;Brécy;340;7;347
02120;Brenelle;195;4;199
02121;Breny;244;4;248
02122;Brie;53;2;55
02123;Brissay-Choigny;303;6;309
02124;Brissy-Hamégicourt;653;10;663
02125;Brumetz;213;3;216
02126;Brunehamel;456;5;461
02128;Bruyères-et-Montbérault;1532;36;1568
02127;Bruyères-sur-Fère;189;5;194
02129;Bruys;19;0;19
02130;Bucilly;193;7;200
02131;Bucy-le-Long;1880;42;1922
02132;Bucy-lès-Cerny;203;3;206
02133;Bucy-lès-Pierrepont;411;6;417
02134;Buire;869;17;886
02135;Buironfosse;1168;16;1184
02136;Burelles;128;4;132
02137;Bussiares;152;0;152
02138;Buzancy;190;2;192
02139;Caillouël-Crépigny;438;8;446
02140;Camelin;454;7;461
02141;La Capelle;1788;79;1867
02142;Castres;244;5;249
02143;Le Catelet;192;6;198
02144;Caulaincourt;145;3;148
02145;Caumont;546;18;564
02146;Celles-lès-Condé;87;1;88
02148;Celles-sur-Aisne;258;2;260
02149;Cerizy;67;0;67
02150;Cerny-en-Laonnois;64;0;64
02151;Cerny-lès-Bucy;115;3;118
02152;Cerseuil;89;1;90
02153;Cessières-Suzy;763;20;783
02154;Chacrise;361;7;368
02155;Chaillevois;174;5;179
02156;Chalandry;253;1;254
02157;Chambry;848;12;860
02158;Chamouille;284;2;286
02159;Champs;280;3;283
02160;Chaourse;539;11;550
02162;La Chapelle-sur-Chézy;278;5;283
02163;Charly-sur-Marne;2617;42;2659
02164;Le Charmel;316;7;323
02165;Charmes;1652;28;1680
02166;Chartèves;352;9;361
02167;Chassemy;881;14;895
02168;Château-Thierry;15107;379;15486
02169;Châtillon-lès-Sons;83;0;83
02170;Châtillon-sur-Oise;127;3;130
02171;Chaudardes;87;1;88
02172;Chaudun;249;10;259
02173;Chauny;11878;439;12317
02174;Chavignon;818;24;842
02175;Chavigny;150;4;154
02176;Chavonne;205;3;208
02177;Chérêt;142;2;144
02178;Chermizy-Ailles;106;2;108
02179;Chéry-Chartreuve;392;10;402
02180;Chéry-lès-Pouilly;710;8;718
02181;Chéry-lès-Rozoy;80;1;81
02182;Chevennes;125;3;128
02183;Chevregny;187;1;188
02184;Chevresis-Monceau;355;5;360
02185;Chézy-en-Orxois;404;15;419
02186;Chézy-sur-Marne;1353;45;1398
02187;Chierry;1109;15;1124
02188;Chigny;149;4;153
02189;Chivres-en-Laonnois;362;8;370
02190;Chivres-Val;530;12;542
02191;Chivy-lès-Étouvelles;510;5;515
02192;Chouy;370;7;377
02193;Cierges;66;1;67
02194;Cilly;193;8;201
02195;Ciry-Salsogne;930;9;939
02196;Clacy-et-Thierret;314;7;321
02197;Clairfontaine;552;86;638
02198;Clamecy;228;2;230
02199;Clastres;635;9;644
02200;Clermont-les-Fermes;120;1;121
02203;Coincy;1310;19;1329
02204;Coingt;68;1;69
02205;Colligis-Crandelain;248;3;251
02206;Colonfay;78;3;81
02207;Commenchon;214;3;217
02208;Concevreux;278;5;283
02209;Condé-en-Brie;685;10;695
02210;Condé-sur-Aisne;360;6;366
02211;Condé-sur-Suippe;285;3;288
02212;Condren;707;11;718
02213;Connigis;332;2;334
02214;Contescourt;61;1;62
02215;Corbeny;801;6;807
02216;Corcy;306;4;310
02219;Coucy-la-Ville;219;70;289
02217;Coucy-le-Château-Auffrique;1014;17;1031
02218;Coucy-lès-Eppes;624;12;636
02220;Coulonges-Cohan;436;15;451
02221;Coupru;149;5;154
02222;Courbes;31;0;31
02223;Courboin;300;12;312
02224;Courcelles-sur-Vesle;350;4;354
02225;Courchamps;88;2;90
02226;Courmelles;1826;30;1856
02227;Courmont;133;1;134
02228;Courtemont-Varennes;333;6;339
02229;Courtrizy-et-Fussigny;66;1;67
02230;Couvrelles;188;11;199
02231;Couvron-et-Aumencourt;938;9;947
02232;Coyolles;344;21;365
02233;Cramaille;143;8;151
02234;Craonne;82;0;82
02235;Craonnelle;117;3;120
02236;Crécy-au-Mont;346;3;349
02237;Crécy-sur-Serre;1498;17;1515
02238;Crépy;1837;31;1868
02239;Crézancy;1230;84;1314
02240;Croix-Fonsomme;257;3;260
02241;La Croix-sur-Ourcq;105;2;107
02242;Crouttes-sur-Marne;647;11;658
02243;Crouy;2905;47;2952
02244;Crupilly;64;3;67
02245;Cuffies;1789;35;1824
02246;Cugny;606;5;611
02248;Cuirieux;157;3;160
02249;Cuiry-Housse;102;0;102
02250;Cuiry-lès-Chaudardes;76;4;80
02251;Cuiry-lès-Iviers;28;1;29
02252;Cuissy-et-Geny;71;2;73
02253;Cuisy-en-Almont;355;3;358
02254;Cutry;128;5;133
02255;Cys-la-Commune;143;2;145
02201;Cœuvres-et-Valsery;438;6;444
02256;Dagny-Lambercy;125;3;128
02257;Dallon;436;13;449
02258;Dammard;379;13;392
02259;Dampleux;398;15;413
02260;Danizy;650;11;661
02261;Dercy;391;9;400
02262;Deuillet;216;3;219
02263;Dhuizel;114;0;114
02458;Dhuys et Morin-en-Brie;818;16;834
02264;Dizy-le-Gros;747;15;762
02265;Dohis;99;2;101
02266;Dolignon;49;2;51
02267;Dommiers;289;10;299
02268;Domptin;654;14;668
02269;Dorengt;154;6;160
02270;Douchy;162;4;166
02271;Dravegny;132;2;134
02272;Droizy;75;2;77
02273;Dury;222;5;227
02274;Ébouleau;200;6;206
02275;Effry;324;5;329
02276;Englancourt;122;5;127
02277;Épagny;340;6;346
02278;Éparcy;30;6;36
02279;Épaux-Bézu;556;19;575
02280;Épieds;392;12;404
02281;L' Épine-aux-Bois;261;11;272
02282;Eppes;417;14;431
02283;Erlon;284;9;293
02284;Erloy;97;1;98
02286;Esquéhéries;858;11;869
02287;Essigny-le-Grand;1022;24;1046
02288;Essigny-le-Petit;344;5;349
02289;Essises;417;11;428
02290;Essômes-sur-Marne;2776;75;2851
02291;Estrées;412;8;420
02292;Étampes-sur-Marne;1253;27;1280
02293;Étaves-et-Bocquiaux;557;10;567
02294;Étouvelles;213;8;221
02295;Étréaupont;859;8;867
02296;Étreillers;1208;21;1229
02297;Étrépilly;118;1;119
02298;Étreux;1459;9;1468
02299;Évergnicourt;570;6;576
02302;Faverolles;317;12;329
02303;Fayet;654;17;671
02304;La Fère;2859;140;2999
02305;Fère-en-Tardenois;3053;55;3108
02306;La Ferté-Chevresis;542;8;550
02307;La Ferté-Milon;2085;158;2243
02308;Fesmy-le-Sart;486;8;494
02309;Festieux;680;5;685
02310;Fieulaine;256;7;263
02311;Filain;129;2;131
02312;La Flamengrie;1118;10;1128
02313;Flavigny-le-Grand-et-Beaurain;468;5;473
02315;Flavy-le-Martel;1687;29;1716
02316;Fleury;136;5;141
02317;Fluquières;220;4;224
02318;Folembray;1386;18;1404
02319;Fonsomme;469;7;476
02320;Fontaine-lès-Clercs;250;4;254
02321;Fontaine-lès-Vervins;913;182;1095
02322;Fontaine-Notre-Dame;389;3;392
02323;Fontaine-Uterte;127;4;131
02324;Fontenelle;277;3;280
02326;Fontenoy;489;9;498
02327;Foreste;165;1;166
02328;Fossoy;524;6;530
02329;Fourdrain;419;9;428
02330;Francilly-Selency;474;7;481
02331;Franqueville;113;3;116
02332;Fresnes-en-Tardenois;268;4;272
02333;Fresnes-sous-Coucy;161;0;161
02334;Fresnoy-le-Grand;2945;69;3014
02335;Fressancourt;192;5;197
02336;Frières-Faillouël;998;15;1013
02337;Froidestrées;176;4;180
02338;Froidmont-Cohartille;261;8;269
02339;Gandelu;687;9;696
02340;Gauchy;5276;84;5360
02341;Gercy;277;1;278
02342;Gergny;135;2;137
02343;Germaine;81;0;81
02345;Gibercourt;42;1;43
02346;Gizy;672;12;684
02347;Gland;450;6;456
02349;Goudelancourt-lès-Berrieux;57;0;57
02350;Goudelancourt-lès-Pierrepont;135;2;137
02351;Goussancourt;116;6;122
02352;Gouy;560;10;570
02665;Grand-Rozoy;304;5;309
02783;Grand-Verly;138;0;138
02353;Grandlup-et-Fay;301;11;312
02354;Grandrieux;83;2;85
02355;Gricourt;980;27;1007
02356;Grisolles;252;2;254
02357;Gronard;73;2;75
02358;Grougis;358;5;363
02359;Grugies;1355;27;1382
02361;Guise;4824;105;4929
02362;Guivry;243;11;254
02363;Guny;423;4;427
02364;Guyencourt;253;5;258
02366;Hannapes;318;6;324
02367;Happencourt;133;4;137
02368;Haramont;580;8;588
02369;Harcigny;242;2;244
02370;Hargicourt;598;4;602
02371;Harly;1610;36;1646
02372;Hartennes-et-Taux;371;10;381
02373;Hary;208;5;213
02375;Hautevesnes;167;3;170
02376;Hauteville;166;5;171
02377;Haution;144;7;151
02378;La Hérie;143;6;149
02379;Le Hérie-la-Viéville;230;121;351
02380;Hinacourt;25;1;26
02381;Hirson;8813;188;9001
02382;Holnon;1387;40;1427
02383;Homblières;1464;46;1510
02384;Houry;53;2;55
02385;Housset;149;7;156
02386;Iron;239;2;241
02387;Itancourt;1031;35;1066
02388;Iviers;232;2;234
02389;Jaulgonne;645;16;661
02390;Jeancourt;271;2;273
02391;Jeantes;205;0;205
02392;Joncourt;299;3;302
02393;Jouaignes;144;5;149
02395;Jumencourt;146;6;152
02396;Jumigny;64;1;65
02397;Jussy;1260;18;1278
02398;Juvigny;277;4;281
02399;Juvincourt-et-Damary;599;5;604
02400;Laffaux;149;4;153
02401;Laigny;196;1;197
02402;Lanchy;37;1;38
02403;Landifay-et-Bertaignemont;269;7;276
02404;Landouzy-la-Cour;187;0;187
02405;Landouzy-la-Ville;541;5;546
02406;Landricourt;137;5;142
02407;Laniscourt;182;5;187
02408;Laon;24876;673;25549
